identifier,title,price,description,category,image_urls,variation_titles,name_variations,variations_price,id
e47f3470423a96829af719fa4cbb005b4546d0128e25c25fce97d2f2aa7c6913,Rolmo Cover,1.251748.25, Brocade covering made to fit for Zamtas.,Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ZamtaCover-AvailabeforallsizedZamtas-A_1024x1024.jpg?v=1600680416, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ZamtaCover-AvailabeforallsizedZamtas-B_1024x1024.jpg?v=1600680416",Size,For  kg Zamta   ,1.251748.25,36490383458461
e47f3470423a96829af719fa4cbb005b4546d0128e25c25fce97d2f2aa7c6913,Rolmo Cover,1.51748.25, Brocade covering made to fit for Zamtas.,Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ZamtaCover-AvailabeforallsizedZamtas-A_1024x1024.jpg?v=1600680416, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ZamtaCover-AvailabeforallsizedZamtas-B_1024x1024.jpg?v=1600680416",,For  kg Zamta   ,1.51748.25,36490383491229
e47f3470423a96829af719fa4cbb005b4546d0128e25c25fce97d2f2aa7c6913,Rolmo Cover,21748.25, Brocade covering made to fit for Zamtas.,Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ZamtaCover-AvailabeforallsizedZamtas-A_1024x1024.jpg?v=1600680416, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ZamtaCover-AvailabeforallsizedZamtas-B_1024x1024.jpg?v=1600680416",,For  kg Zamta   ,21748.25,36490383523997
9cde08a9e1e4ce45e03c4990eda1226d8a08f0ca78422123b6816dd803db5ac1,Round Zamta (1 pair),18748.25," Rolmo Size (Height x Diameter) & Weight chart 2.1"" x 10.1"" 1.25 kg 2.3"" x 11"" 1.5 kg 2.7"" x 12.2"" 2
kg *approximately",Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RoundZamta-1.25_1.5_2kgs-01_1024x1024.jpg?v=1600751955, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0019-01_1024x1024.jpg?v=1630320536",Weight, kg   ,18748.25,39798844096669
9cde08a9e1e4ce45e03c4990eda1226d8a08f0ca78422123b6816dd803db5ac1,Round Zamta (1 pair),1.2510498.25," Rolmo Size (Height x Diameter) & Weight chart 2.1"" x 10.1"" 1.25 kg 2.3"" x 11"" 1.5 kg 2.7"" x 12.2"" 2
kg *approximately",Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RoundZamta-1.25_1.5_2kgs-01_1024x1024.jpg?v=1600751955, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0019-01_1024x1024.jpg?v=1630320536",, kg   ,1.2510498.25,36286929600669
9cde08a9e1e4ce45e03c4990eda1226d8a08f0ca78422123b6816dd803db5ac1,Round Zamta (1 pair),1.512248.25," Rolmo Size (Height x Diameter) & Weight chart 2.1"" x 10.1"" 1.25 kg 2.3"" x 11"" 1.5 kg 2.7"" x 12.2"" 2
kg *approximately",Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RoundZamta-1.25_1.5_2kgs-01_1024x1024.jpg?v=1600751955, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0019-01_1024x1024.jpg?v=1630320536",, kg   ,1.512248.25,36286929633437
9cde08a9e1e4ce45e03c4990eda1226d8a08f0ca78422123b6816dd803db5ac1,Round Zamta (1 pair),213998.25," Rolmo Size (Height x Diameter) & Weight chart 2.1"" x 10.1"" 1.25 kg 2.3"" x 11"" 1.5 kg 2.7"" x 12.2"" 2
kg *approximately",Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RoundZamta-1.25_1.5_2kgs-01_1024x1024.jpg?v=1600751955, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0019-01_1024x1024.jpg?v=1630320536",, kg   ,213998.25,36286929666205
5262c59d1684587d4dde17c06f6b7dcd3d9a434ee635e36c909c3570b4b2b475,Round Zamta with Pointed Head (1 pair),18748.25," Rolmo Size (Height x Diameter) & Weight chart 2"" x 10.1"" 1.25 kg 2"" x 12"" 1.5 kg 2"" x 12"" 2 kg
*approximately",Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RoundZamtawithPointedHead-1.25_1.5_2kgs-01_1024x1024.jpg?v=1600752025, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0020-01_1024x1024.jpg?v=1630320548",Weight, kg   ,18748.25,39798852714653
5262c59d1684587d4dde17c06f6b7dcd3d9a434ee635e36c909c3570b4b2b475,Round Zamta with Pointed Head (1 pair),1.2510498.25," Rolmo Size (Height x Diameter) & Weight chart 2"" x 10.1"" 1.25 kg 2"" x 12"" 1.5 kg 2"" x 12"" 2 kg
*approximately",Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RoundZamtawithPointedHead-1.25_1.5_2kgs-01_1024x1024.jpg?v=1600752025, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0020-01_1024x1024.jpg?v=1630320548",, kg   ,1.2510498.25,36286934810781
5262c59d1684587d4dde17c06f6b7dcd3d9a434ee635e36c909c3570b4b2b475,Round Zamta with Pointed Head (1 pair),1.512248.25," Rolmo Size (Height x Diameter) & Weight chart 2"" x 10.1"" 1.25 kg 2"" x 12"" 1.5 kg 2"" x 12"" 2 kg
*approximately",Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RoundZamtawithPointedHead-1.25_1.5_2kgs-01_1024x1024.jpg?v=1600752025, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0020-01_1024x1024.jpg?v=1630320548",, kg   ,1.512248.25,36286934843549
5262c59d1684587d4dde17c06f6b7dcd3d9a434ee635e36c909c3570b4b2b475,Round Zamta with Pointed Head (1 pair),213998.25," Rolmo Size (Height x Diameter) & Weight chart 2"" x 10.1"" 1.25 kg 2"" x 12"" 1.5 kg 2"" x 12"" 2 kg
*approximately",Zamtas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RoundZamtawithPointedHead-1.25_1.5_2kgs-01_1024x1024.jpg?v=1600752025, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0020-01_1024x1024.jpg?v=1630320548",, kg   ,213998.25,36286934876317
